School-High,School-Elementary,School-Alternative,School-Junior High/Middle,School-College or University,School-K-12,School-Other Facility
South Lake,Brighton,Orca,Aki Kurose,SSC Georgetown,Renton Christian,Admin
Mountainview,Pine Tree,Phoenix Academy,Rainier,GRC,Holy Innocents,Admin
Blanchet,Olympic View,Middle College at Northgate,Robert Eagle Staff,North Seattle College,Shoreline Christian,Transportation
Chief Sealth,Highland Park,Louisa Boren,David T. Denny Intl,SSC Georgetown,Renton Christian,John Stanford Center
Liberty,Maplewood Heights,Renton Academy,Maywood,Renton Tech,Renton Christian,Transportation/Maintenance
Mount Si ,Opstad,Two Rivers,Twin Falls,Renton Tech,Renton Christian,Camp Waskowitz
Redmond High,Albert Einstein,Transition Academy,Redmond Middle,Lake Washington IT,Bear Creek,Support Service Center
Holy Names,Seattle Hebrew,TOPS,Edmond S. Meany,Cornish College Kerry Hall,Bush,Stadium/Athletic Office
Mount Rainier,Madrona,ACE,Chinook,Highline College,Mountain View,Transportation
Eastlake,Margaret Mead,Renaissance,Inglewood,Lake Washington IT,Bear Creek,Admin
Garfield,Giddens,HRS,Seattle Girls,Seattle U,Bush,John Stanford Center
Vashon Island,Chatauqua,Harbor,McMurray,South Seattle College,Seattle Christian,Admin
Kentridge,Soos Creek,Phoenix Academy,Meridian,GRC,Seattle Christian,Admin
Seattle Lutheran,Sanislo,Louisa Boren,David T. Denny Intl,South Seattle College,Bush,John Stanford Center
U Prep,Concordia Lutheran,Thornton Creek,Nathan Eckstein,UW,Shoreline Christian,Stadium/Athletic Office
Decatur,Brigadoon,Federal Way Public Academy,TAFA at Saghalie,Green R Coll - Auburn,Christian Faith,Admin
Bellevue Christian,Clyde Hill,Emerson K-12,Chinook,Seattle U Eastside ,Bush,Mot
Redmond High,Laura Ingalls Wilder,Overlake,Timbercrest,Lake Washington IT,Bear Creek,Support Service Center
Ingraham,Christ the King,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Shoreline Childrens Center
Federal Way,St. Vincent De Paul,Truman Campus,Sacajawea,Highline College,Internet Academy,Federal Way Memorial Field
Rainier Beach,Amazing Grace,Secondary Learning,Dimmit,City University,Renton Christian,Admin
Ballard,Lawton,Salmon Bay,Worth McClure,Seattle Pacific U,Bush,Stadium/Athletic Office
