X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.21298550845556,47.478415013490398,196,688,12194,School-Elementary,St. Anthony Elementary School,St. Anthony,336 Shattuck Ave S,98057,-122.21298784,47.47841298,20,RENTON,7841300035,784130,0035,School-Elementary,0
-122.308728491251614,47.298858379090696,197,1348,871083,School-K-12,Christian Faith School,Christian Faith,33645 20th Ave S,98003,-122.30873183,47.29885655,20,FEDERAL WAY,2121049004,212104,9004,School-K-12,0
-122.354995794385999,47.297573622063275,198,2201,841929,School-Junior High/Middle,Technology Access Foundation Academy at Saghalie,TAFA at Saghalie,33914 19th Ave SW,98023,-122.35499914,47.29757189,10,FEDERAL WAY,1921049033,192104,9033,School-Junior High/Middle,4456
-122.288664766610637,47.622912777401261,199,951,838011,School-K-12,Bush School,Bush,3400 E Harrison St,98112,-122.28866644,47.6229109,20,SEATTLE,6600000120,660000,0120,School-K-12,0
-122.375636109828008,47.538872791586101,200,1116,493520,School-Elementary,Our Lady of Guadalupe Catholic School,Our Lady of Guadalupe,3401 SW Myrtle St,98126,-122.37563816,47.53887101,20,SEATTLE,8123100005,812310,0005,School-Elementary,0
-122.288400796002065,47.277940085609643,201,6600140,636214,School-Junior High/Middle,Sequoyah Middle School,Sequoyah,3425 S 360th St  ,98001,-122.28840425,47.27793822,10,FEDERAL WAY,2721049012,272104,9012,School-Junior High/Middle,5029
-122.390281254884755,47.572981633400317,202,996,459130,School-Junior High/Middle,James Madison Middle School,James Madison,3429 45th Ave SW,98116,-122.39028315,47.57297989,10,SEATTLE,9278300010,927830,0010,School-Junior High/Middle,2435
-122.333389641306553,47.293562790800479,203,93,2390,School-Elementary,Panther Lake Elementary School,Panther Lake,34424 1st Ave S,98003,-122.33339301,47.29356102,10,FEDERAL WAY,2021049110,202104,9110,School-Elementary,3329
-122.322006078044339,47.291223480724717,204,6600546,711102,School-Alternative,Federal Way Public Academy,Federal Way Public Academy,34620 9th Ave S,98003,-122.32200946,47.29122168,10,FEDERAL WAY,9264800050,926480,0050,School-Alternative,1789
-122.1810628763549,47.28962106622442,205,36,58,School-Elementary,Chinook Elementary School,Chinook,3502 Auburn Way S,98092,-122.18106626,47.28961897,10,AUBURN,2121059038,212105,9038,School-Elementary,3439
-122.341086889421391,47.28724434100355,206,6600525,2392,School-Elementary,Enterprise Elementary School,Enterprise,35101 5th Ave SW,98023,-122.34109029,47.28724259,10,FEDERAL WAY,4159200704,415920,0704,School-Elementary,4470
-122.289320466785313,47.693581575952436,207,971,12394,School-Elementary,Our Lady of the Lake School,Our Lady of the Lake,3520 NE 89th St,98115,-122.28932183,47.69357971,20,SEATTLE,6844701005,684470,1005,School-Elementary,0
-122.293389719086633,47.280431277706221,208,13,634289,School-Elementary,Lakeland Elementary School,Lakeland,35827 32nd Ave S,98001,-122.29339316,47.28042943,10,FEDERAL WAY,2821049095,282104,9095,School-Elementary,2841
-122.314374950137903,47.277471222871547,209,2289,842738,School-High,Todd Beamer High School,Todd Beamer,35999 16th Ave S,98003,-122.31437841,47.27746942,10,FEDERAL WAY,2921049025,292104,9025,School-High,4570
-122.378171186857884,47.299869867527271,210,316,2386,School-Elementary,Brigadoon Elementary School,Brigadoon,3601 SW 336th St,98023,-122.37817452,47.29986818,10,FEDERAL WAY,2321039003,232103,9003,School-Elementary,3700
-122.286478643638816,47.549441949942214,211,6600705,483902,School-Elementary,Makkah Islamic School,Makkah Islamic,3613 S Juneau St,98118,-122.28648065,47.54944006,20,SEATTLE,2224049009,222404,9009,School-Elementary,
-122.284904524997572,47.530739828220021,212,1029,512739,School-Elementary,Wing Luke Elementary School,Wing Luke,3701 S Kenyon St ,98118,-122.28490661,47.53073793,10,SEATTLE,4006000598,400600,0598,School-Elementary,3581
-122.377585812626464,47.509701128249276,213,1192,511295,School-Elementary,Arbor Heights Elementary School,Arbor Heights,3701 SW 104th St,98146,-122.37758799,47.50969933,10,SEATTLE,2518400005,251840,0005,School-Elementary,2730
-122.285208312760773,47.453288757769066,214,1326,401620,School-Elementary,McMicken Heights Elementary School,McMicken Heights,3708 S 168th St,98188,-122.28521079,47.45328686,10,HIGHLINE,2723049028,272304,9028,School-Elementary,2734
-121.914325744687801,47.642423612533555,215,273,158,School-Junior High/Middle,Tolt Middle School,Tolt,3740 Tolt Ave,98014,-121.91432707,47.64242113,10,RIVERVIEW,2125079033,212507,9033,School-Junior High/Middle,4318
-122.034189922824012,47.526644452916727,216,6600688,996972,School-Alternative,Gibson Ek,Gibson Ek,379 1st Pl SE,98027,-122.03419193,47.526642,10,ISSAQUAH,3424069028,342406,9028,School-Alternative,
-122.207742587344541,47.576612250611674,217,6600714,191175,School-Alternative,French-American School of Puget Sound,FASPS,3795 E Mercer Way,98040,-122.20774444,47.57661022,20,MERCER ISLAND,2655500115,265550,0115,School-Alternative,
